File,Line,Confidence,Reason,HasWidthHeight,Src,ImgOpenTag,Notes
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,904,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,919,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,934,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,948,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1001,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1016,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1031,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1046,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1061,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
C:\Users\Public\Documents\Web Design\aircraft-delivery-site\past-deliveries.html,1076,High,missing-loading,FALSE,/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839,"<img class=""testimonial-thumb"" style=""width: 125px; cursor: pointer;"" src=""/assets/past-deliveries/testimonials/testim-icon.jpg?v=20250907-192839"" data-full=""/a",no width/height
